index,ts_code,symbol,name,area,industry,fullname,market,exchange,list_date,is_hs
3918,603126.SH,603126,中材节能,天津,环境保护,中材节能股份有限公司,主板,SSE,20140731,N
3919,603127.SH,603127,昭衍新药,北京,医疗保健,北京昭衍新药研究中心股份有限公司,主板,SSE,20170825,H
3920,603128.SH,603128,华贸物流,上海,仓储物流,港中旅华贸国际物流股份有限公司,主板,SSE,20120529,H
3921,603129.SH,603129,春风动力,浙江,摩托车,浙江春风动力股份有限公司,主板,SSE,20170818,H
3922,603130.SH,603130,云中马,浙江,纺织,浙江云中马股份有限公司,主板,SSE,20221118,N
3923,603131.SH,603131,上海沪工,上海,专用机械,上海沪工焊接集团股份有限公司,主板,SSE,20160607,N
3924,603132.SH,603132,金徽股份,甘肃,铅锌,金徽矿业股份有限公司,主板,SSE,20220222,N
3925,603133.SH,603133,*ST碳元,江苏,元器件,碳元科技股份有限公司,主板,SSE,20170320,N
3926,603135.SH,603135,中重科技,天津,专用机械,中重科技(天津)股份有限公司,主板,SSE,20230410,N
3927,603136.SH,603136,天目湖,江苏,旅游景点,江苏天目湖旅游股份有限公司,主板,SSE,20170927,H
3928,603137.SH,603137,恒尚节能,江苏,装修装饰,江苏恒尚节能科技股份有限公司,主板,SSE,20230419,N
3929,603138.SH,603138,海量数据,北京,软件服务,北京海量数据技术股份有限公司,主板,SSE,20170306,H
3930,603139.SH,603139,康惠制药,陕西,中成药,陕西康惠制药股份有限公司,主板,SSE,20170421,N
3931,603150.SH,603150,万朗磁塑,安徽,塑料,安徽万朗磁塑股份有限公司,主板,SSE,20220124,N
3932,603151.SH,603151,邦基科技,山东,饲料,山东邦基科技股份有限公司,主板,SSE,20221019,N
3933,603153.SH,603153,上海建科,上海,建筑工程,上海建科集团股份有限公司,主板,SSE,20230313,N
3934,603155.SH,603155,新亚强,江苏,化工原料,新亚强硅化学股份有限公司,主板,SSE,20200901,N
3935,603156.SH,603156,养元饮品,河北,软饮料,河北养元智汇饮品股份有限公司,主板,SSE,20180212,H
3936,603158.SH,603158,腾龙股份,江苏,汽车配件,常州腾龙汽车零部件股份有限公司,主板,SSE,20150320,N
3937,603159.SH,603159,上海亚虹,上海,专用机械,上海亚虹模具股份有限公司,主板,SSE,20160812,N
3938,603160.SH,603160,汇顶科技,深圳,半导体,深圳市汇顶科技股份有限公司,主板,SSE,20161017,H
3939,603161.SH,603161,科华控股,江苏,汽车配件,科华控股股份有限公司,主板,SSE,20180105,N
3940,603162.SH,603162,海通发展,福建,水运,福建海通发展股份有限公司,主板,SSE,20230329,N
3941,603163.SH,603163,圣晖集成,江苏,建筑工程,圣晖系统集成集团股份有限公司,主板,SSE,20221013,N
3942,603165.SH,603165,荣晟环保,浙江,造纸,浙江荣晟环保纸业股份有限公司,主板,SSE,20170117,N
3943,603166.SH,603166,福达股份,广西,汽车配件,桂林福达股份有限公司,主板,SSE,20141127,N
3944,603167.SH,603167,渤海轮渡,山东,水运,渤海轮渡集团股份有限公司,主板,SSE,20120906,N
3945,603168.SH,603168,莎普爱思,浙江,化学制药,浙江莎普爱思药业股份有限公司,主板,SSE,20140702,N
3946,603169.SH,603169,兰石重装,甘肃,专用机械,兰州兰石重型装备股份有限公司,主板,SSE,20141009,H
3947,603170.SH,603170,宝立食品,上海,食品,上海宝立食品科技股份有限公司,主板,SSE,20220715,H
3948,603171.SH,603171,税友股份,浙江,软件服务,税友软件集团股份有限公司,主板,SSE,20210630,H
3949,603172.SH,603172,万丰股份,浙江,染料涂料,浙江万丰化工股份有限公司,主板,SSE,20230510,N
3950,603173.SH,603173,福斯达,浙江,机械基件,杭州福斯达深冷装备股份有限公司,主板,SSE,20230130,N
3951,603176.SH,603176,汇通集团,河北,建筑工程,汇通建设集团股份有限公司,主板,SSE,20211231,N
3952,603177.SH,603177,德创环保,浙江,环境保护,浙江德创环保科技股份有限公司,主板,SSE,20170207,N
3953,603178.SH,603178,圣龙股份,浙江,汽车配件,宁波圣龙汽车动力系统股份有限公司,主板,SSE,20170328,N
3954,603179.SH,603179,新泉股份,江苏,汽车配件,江苏新泉汽车饰件股份有限公司,主板,SSE,20170317,H
3955,603180.SH,603180,金牌厨柜,福建,家居用品,金牌厨柜家居科技股份有限公司,主板,SSE,20170512,H
3956,603181.SH,603181,皇马科技,浙江,化工原料,浙江皇马科技股份有限公司,主板,SSE,20170824,H
3957,603182.SH,603182,嘉华股份,山东,食品,山东嘉华生物科技股份有限公司,主板,SSE,20220909,N
3958,603183.SH,603183,建研院,江苏,建筑工程,苏州市建筑科学研究院集团股份有限公司,主板,SSE,20170905,N
3959,603185.SH,603185,弘元绿能,江苏,电气设备,弘元绿色能源股份有限公司,主板,SSE,20181228,H
3960,603186.SH,603186,华正新材,浙江,元器件,浙江华正新材料股份有限公司,主板,SSE,20170103,N
3961,603187.SH,603187,海容冷链,山东,机械基件,青岛海容商用冷链股份有限公司,主板,SSE,20181129,H
3962,603188.SH,603188,亚邦股份,江苏,染料涂料,江苏亚邦染料股份有限公司,主板,SSE,20140909,N
3963,603189.SH,603189,网达软件,上海,软件服务,上海网达软件股份有限公司,主板,SSE,20160914,N
3964,603190.SH,603190,亚通精工,山东,汽车配件,烟台亚通精工机械股份有限公司,主板,SSE,20230217,N
3965,603191.SH,603191,望变电气,重庆,电气设备,重庆望变电气(集团)股份有限公司,主板,SSE,20220428,H
3966,603192.SH,603192,汇得科技,上海,化工原料,上海汇得科技股份有限公司,主板,SSE,20180828,N
3967,603195.SH,603195,公牛集团,浙江,家用电器,公牛集团股份有限公司,主板,SSE,20200206,H
3968,603196.SH,603196,日播时尚,上海,服饰,日播时尚集团股份有限公司,主板,SSE,20170531,N
3969,603197.SH,603197,保隆科技,上海,汽车配件,上海保隆汽车科技股份有限公司,主板,SSE,20170519,H
3970,603198.SH,603198,迎驾贡酒,安徽,白酒,安徽迎驾贡酒股份有限公司,主板,SSE,20150528,H
3971,603199.SH,603199,九华旅游,安徽,旅游景点,安徽九华山旅游发展股份有限公司,主板,SSE,20150326,N
3972,603200.SH,603200,上海洗霸,上海,环境保护,上海洗霸科技股份有限公司,主板,SSE,20170601,N
3973,603201.SH,603201,常润股份,江苏,汽车配件,常熟通润汽车零部件股份有限公司,主板,SSE,20220729,N
3974,603203.SH,603203,快克智能,江苏,专用机械,快克智能装备股份有限公司,主板,SSE,20161108,H
3975,603206.SH,603206,嘉环科技,江苏,通信设备,嘉环科技股份有限公司,主板,SSE,20220506,H
3976,603208.SH,603208,江山欧派,浙江,家居用品,江山欧派门业股份有限公司,主板,SSE,20170210,H
3977,603209.SH,603209,兴通股份,福建,水运,兴通海运股份有限公司,主板,SSE,20220324,H
3978,603211.SH,603211,晋拓股份,上海,汽车配件,晋拓科技股份有限公司,主板,SSE,20220725,N
3979,603212.SH,603212,赛伍技术,江苏,塑料,苏州赛伍应用技术股份有限公司,主板,SSE,20200430,H
3980,603213.SH,603213,镇洋发展,浙江,化工原料,浙江镇洋发展股份有限公司,主板,SSE,20211111,H
3981,603214.SH,603214,爱婴室,上海,百货,上海爱婴室商务服务股份有限公司,主板,SSE,20180330,N
3982,603215.SH,603215,比依股份,浙江,家用电器,浙江比依电器股份有限公司,主板,SSE,20220218,N
3983,603216.SH,603216,梦天家居,浙江,家居用品,梦天家居集团股份有限公司,主板,SSE,20211215,N
3984,603217.SH,603217,元利科技,山东,化工原料,元利化学集团股份有限公司,主板,SSE,20190620,H
3985,603218.SH,603218,日月股份,浙江,电气设备,日月重工股份有限公司,主板,SSE,20161228,H
3986,603219.SH,603219,富佳股份,浙江,家用电器,宁波富佳实业股份有限公司,主板,SSE,20211122,H
3987,603220.SH,603220,中贝通信,湖北,通信设备,中贝通信集团股份有限公司,主板,SSE,20181115,N
3988,603221.SH,603221,爱丽家居,江苏,家居用品,爱丽家居科技股份有限公司,主板,SSE,20200323,N
3989,603222.SH,603222,济民医疗,浙江,医疗保健,济民健康管理股份有限公司,主板,SSE,20150217,H
3990,603223.SH,603223,恒通股份,山东,仓储物流,恒通物流股份有限公司,主板,SSE,20150630,H
3991,603225.SH,603225,新凤鸣,浙江,化纤,新凤鸣集团股份有限公司,主板,SSE,20170418,H
3992,603226.SH,603226,菲林格尔,上海,家居用品,菲林格尔家居科技股份有限公司,主板,SSE,20170615,N
3993,603227.SH,603227,雪峰科技,新疆,化工原料,新疆雪峰科技(集团)股份有限公司,主板,SSE,20150515,H
3994,603228.SH,603228,景旺电子,深圳,元器件,深圳市景旺电子股份有限公司,主板,SSE,20170106,H
3995,603229.SH,603229,奥翔药业,浙江,化学制药,浙江奥翔药业股份有限公司,主板,SSE,20170509,H
3996,603230.SH,603230,内蒙新华,内蒙,出版业,内蒙古新华发行集团股份有限公司,主板,SSE,20211224,H
3997,603232.SH,603232,格尔软件,上海,软件服务,格尔软件股份有限公司,主板,SSE,20170421,N
3998,603233.SH,603233,大参林,广东,医药商业,大参林医药集团股份有限公司,主板,SSE,20170731,H
3999,603235.SH,603235,天新药业,江西,化学制药,江西天新药业股份有限公司,主板,SSE,20220712,N
4000,603236.SH,603236,移远通信,上海,通信设备,上海移远通信技术股份有限公司,主板,SSE,20190716,H
4001,603237.SH,603237,五芳斋,浙江,食品,浙江五芳斋实业股份有限公司,主板,SSE,20220831,N
4002,603238.SH,603238,诺邦股份,浙江,纺织,杭州诺邦无纺股份有限公司,主板,SSE,20170222,N
4003,603239.SH,603239,浙江仙通,浙江,汽车配件,浙江仙通橡塑股份有限公司,主板,SSE,20161230,N
4004,603255.SH,603255,鼎际得,辽宁,化工原料,辽宁鼎际得石化股份有限公司,主板,SSE,20220818,N
4005,603256.SH,603256,宏和科技,上海,玻璃,宏和电子材料科技股份有限公司,主板,SSE,20190719,N
